date,close,high,low,open,volume,daily_return,rsi,macd,macd_signal,macd_diff,stochastic_k,stochastic_d,bollinger_hband,bollinger_lband,bollinger_mavg,bollinger_width,atr,ema_20,ema_50,ema_200,ema_9,ichimoku_a,ichimoku_b,ichimoku_base,ichimoku_conversion,adx,volume_sma_20,volume_ratio,awesome_osc
2011-07-27,92.813,94.196,92.688,94.165,470300,-0.02,45.248,0.42,0.485,-0.065,19.247,49.497,96.405,92.238,94.322,4.417,1.157,93.935,93.461,90.241,94.254,93.492,92.876,93.054,93.932,12.711,143195.0,3.284,1.951
2011-07-28,92.549,93.605,92.424,92.782,169150,-0.003,44.07,0.258,0.439,-0.182,11.988,30.388,96.438,92.173,94.305,4.523,1.159,93.803,93.425,90.264,93.913,93.492,92.876,93.054,93.932,12.991,145385.0,1.163,1.468
2011-07-29,91.834,92.735,91.243,91.647,194600,-0.008,40.959,0.071,0.366,-0.295,13.113,14.782,96.591,91.827,94.209,5.057,1.183,93.615,93.363,90.28,93.497,93.275,92.876,93.054,93.496,14.001,148872.5,1.307,0.742
2011-08-01,91.507,93.092,90.653,93.061,435950,-0.004,39.583,-0.103,0.272,-0.375,16.755,13.952,96.636,91.416,94.026,5.552,1.272,93.414,93.29,90.292,93.099,93.198,92.876,93.194,93.202,15.268,163692.5,2.663,0.049
2011-08-02,89.223,91.29,89.177,90.87,258400,-0.025,31.599,-0.42,0.134,-0.553,0.7,10.189,97.036,90.435,93.736,7.042,1.348,93.015,93.131,90.281,92.324,92.631,92.798,92.798,92.464,17.157,172020.0,1.502,-0.84
2011-08-03,89.674,89.767,87.778,89.316,380550,0.005,34.412,-0.627,-0.019,-0.609,23.783,13.746,97.134,89.789,93.462,7.858,1.394,92.697,92.995,90.275,91.794,91.923,92.098,92.098,91.748,19.45,186305.0,2.043,-1.731
2011-08-04,85.478,88.54,85.339,88.477,504200,-0.047,24.37,-1.118,-0.238,-0.879,1.335,8.606,97.782,88.069,92.925,10.452,1.604,92.009,92.7,90.227,90.531,90.665,90.878,90.878,90.451,22.289,201745.0,2.499,-2.86
2011-08-05,85.292,86.753,83.085,86.535,538450,-0.002,24.035,-1.504,-0.492,-1.012,17.426,14.181,98.141,86.685,92.413,12.396,1.751,91.37,92.41,90.178,89.483,89.441,89.752,89.752,89.13,25.401,223387.5,2.41,-4.112
2011-08-08,79.822,84.096,79.667,82.371,790300,-0.064,16.747,-2.226,-0.838,-1.387,0.964,6.575,99.601,83.829,91.715,17.198,2.028,90.27,91.916,90.075,87.551,87.487,88.042,88.042,86.932,28.803,258265.0,3.06,-5.859
2011-08-09,83.396,83.443,78.408,81.112,579800,0.045,31.386,-2.481,-1.167,-1.314,28.763,15.717,99.848,82.585,91.217,18.925,2.243,89.615,91.582,90.009,86.72,86.71,87.413,87.413,86.006,32.11,280635.0,2.066,-7.406
2011-08-10,79.776,82.588,79.62,81.936,403100,-0.043,26.335,-2.941,-1.522,-1.419,7.903,12.543,100.397,80.646,90.521,21.82,2.352,88.678,91.119,89.907,85.331,86.582,87.413,87.413,85.75,35.182,294305.0,1.37,-8.626
2011-08-11,83.272,84.453,80.226,80.584,919300,0.044,36.897,-2.989,-1.815,-1.174,28.353,21.673,100.316,79.746,90.031,22.847,2.518,88.163,90.811,89.841,84.919,86.582,87.413,87.413,85.75,36.572,337475.0,2.724,-9.308
2011-08-12,83.94,84.686,83.381,84.282,307200,0.008,38.705,-2.94,-2.04,-0.9,32.993,23.083,100.024,79.073,89.549,23.396,2.439,87.761,90.542,89.782,84.723,85.964,87.413,87.079,84.849,37.693,350817.5,0.876,-9.293
2011-08-15,85.665,85.774,84.577,84.764,225950,0.021,43.23,-2.73,-2.178,-0.552,45.965,35.771,99.686,78.698,89.192,23.532,2.396,87.561,90.351,89.741,84.912,85.583,87.413,87.079,84.088,37.948,357415.0,0.632,-8.474
2011-08-16,84.935,85.743,84.096,84.857,263800,-0.009,41.823,-2.592,-2.261,-0.331,42.949,40.636,99.099,78.348,88.724,23.388,2.343,87.311,90.138,89.693,84.916,85.276,87.413,87.079,83.474,38.324,358940.0,0.735,-7.478
2011-08-17,85.028,86.084,84.375,85.463,160550,0.001,42.082,-2.448,-2.298,-0.15,45.083,44.666,98.423,78.097,88.26,23.031,2.297,87.094,89.938,89.647,84.939,84.83,87.413,87.079,82.58,38.421,362430.0,0.443,-6.436
2011-08-18,81.501,82.899,80.599,82.806,524000,-0.041,35.615,-2.588,-2.356,-0.232,21.064,36.365,97.546,77.567,87.557,22.818,2.45,86.561,89.607,89.566,84.251,84.663,87.413,87.079,82.246,39.492,376917.5,1.39,-6.209
2011-08-19,79.947,82.215,79.9,80.304,1438400,-0.019,33.195,-2.792,-2.443,-0.349,11.947,26.031,96.562,76.983,86.772,22.564,2.44,85.931,89.228,89.47,83.39,84.663,87.413,87.079,82.246,40.631,444325.0,3.237,-6.41
2011-08-22,80.009,81.873,79.853,81.827,246400,0.001,33.39,-2.916,-2.538,-0.378,14.095,15.702,95.443,76.592,86.018,21.916,2.41,85.367,88.867,89.376,82.714,84.966,87.413,87.079,82.852,41.699,447462.5,0.551,-6.856
2011-08-23,82.775,82.806,80.024,80.428,301950,0.035,41.563,-2.758,-2.582,-0.176,43.101,23.048,94.052,76.792,85.422,20.205,2.438,85.12,88.628,89.31,82.726,85.024,87.413,87.079,82.968,41.992,455617.5,0.663,-7.159
